tesi,unit,length,unit_2,diam,class,shoot_ID,tree,Length(node),rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,57,mm,6.8,VLo,10,8,14,14,6.5,0.5,0.46,6.5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,2.31,mm,2,Sh,11,8,3,1,-1,-0.3,0.33,1,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,2.31,mm,2,Sh,11,8,3,2,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,1,0,1
AUTOR,cm,2.31,mm,2,Sh,11,8,3,3,1,0.3,0.33,1,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,1,-7,-0.5,0.47,7,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,2,-6,-0.4,0.4,6,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,3,-5,-0.3,0.33,5,0,1,1,1,2,0,2,2,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,4,-4,-0.3,0.27,4,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,5,-3,-0.2,0.2,3,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,4,1,5
AUTOR,cm,48,mm,6.76,VLo,12,8,15,6,-2,-0.1,0.13,2,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,0,3,3
AUTOR,cm,48,mm,6.76,VLo,12,8,15,7,-1,-0.1,0.07,1,0,0,1,1,2,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,8,0,0,0,0,1,0,0,1,4,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,48,mm,6.76,VLo,12,8,15,9,1,0.1,0.07,1,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,10,2,0.1,0.13,2,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,11,3,0.2,0.2,3,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,6.76,VLo,12,8,15,12,4,0.3,0.27,4,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
